Codice, Descrizione, Frequenza
1, Registrazione di nuovi clienti, 10 al mese
2, Inserimento di una nuova motocicletta nel garage, 140 all'anno 
3, Prenotazione e conferma / cancellazione appuntamenti, 15 al giorno
4, Assegnazione tecnici agli interventi, 10 al giorno
5, Visualizzazione inventario con soglie di riordino, 40 al mese
6, Registrazione acquisti da fornitori, 2 al giorno
7, Generazione fatture per interventi completati, 100 al mese
8, Visualizzazione dashboard con indicatori di performance, 5 al giorno
9, Gestione ruoli e permessi del personale, 5 all'anno
10, Tracciamento storico interventi per ogni motocicletta, 100 al mese
11, Visualizzare lo stato di un intervento sulla propria moto, 25 al giorno
12, Visualizzazione fattura, 100 al mese
